No.,Gd,MS,Ag,inc,oinc,es,fully employed,edu,Tertiary,as,new as,house,car,cd,cc,ncc,cco
93,2,1,65,10000,10000,2,0,2,0,1,0,0,0,1,2,0,0
94,1,1,24,11000,35000,1,1,3,0,2,1,0,1,0,,,
95,1,2,40,15000,15000,1,1,5,1,1,0,0,0,0,,,
96,2,1,35,16000,16000,1,1,3,0,3,0,1,0,1,2,0,1
97,2,2,62,15500,15500,1,1,2,0,3,0,1,0,1,3,1,0
98,1,4,38,18000,18000,1,1,5,1,2,1,0,1,0,,,
99,2,4,29,22500,25000,3,1,3,0,1,0,0,0,1,3,1,0
100,1,1,26,12000,12000,3,1,2,0,0,0,0,0,1,1,1,1
101,2,3,71,0,0,4,0,2,0,3,0,1,0,1,3,1,1
102,2,1,38,14000,14000,1,1,6,1,1,0,0,0,1,1,1,1
103,2,4,46,28000,28000,1,1,5,1,3,0,1,0,1,1,1,0
104,1,1,25,16840,16840,1,1,5,1,1,0,0,0,0,,,
105,2,2,42,14000,14000,1,1,3,0,2,1,0,1,0,,,
106,2,2,20,10000,10000,1,1,3,0,1,0,0,0,0,,,
107,2,1,19,5000,5000,2,0,5,1,1,0,0,0,0,,,
108,2,2,38,10000,10000,4,0,3,0,1,0,0,0,0,,,
109,2,3,69,0,0,4,0,3,0,1,0,0,0,0,,,
110,2,3,69,10000,10000,4,0,1,0,4,1,1,1,1,3,1,0
111,1,3,51,20000,20000,1,1,5,1,2,1,0,1,1,3,1,0
112,2,4,43,24000,25000,2,0,4,0,3,0,1,0,1,1,1,0
113,2,2,45,10000,25000,1,1,3,0,3,0,1,0,1,1,1,1
114,2,2,40,15000,15000,2,0,4,0,1,0,0,0,1,1,1,0
115,1,2,37,14595,14595,1,1,5,1,2,1,0,1,1,1,1,0
116,2,1,41,5200,5200,4,0,3,0,3,0,1,0,1,2,0,
117,1,1,30,18000,18000,1,1,4,0,2,1,0,1,0,,,
118,1,1,33,15000,15000,2,0,1,0,1,0,0,0,0,,,
119,1,1,29,16000,16000,1,1,3,0,2,1,0,1,0,,,
120,1,1,25,15000,15000,2,0,3,0,1,0,0,0,0,,,
121,2,1,33,16000,16000,1,1,4,0,1,0,0,0,0,,,
122,2,2,37,18000,18000,1,1,3,0,3,0,1,0,0,,,
123,2,1,31,20000,20000,1,1,3,0,3,0,1,0,0,,,
124,2,2,40,20000,20000,1,1,4,0,1,0,0,0,1,1,1,0
125,2,1,22,10000,10000,2,0,5,1,1,0,0,0,1,1,1,0
126,2,2,40,20000,20000,1,1,4,0,2,1,0,1,1,1,1,0
127,2,1,22,10000,10000,2,0,5,1,1,0,0,0,1,1,1,0
128,2,2,46,14500,14500,1,1,5,1,2,1,0,1,0,,,
